tweetID,followers,listed,followings,verified,Total_favourite_count,tweet_favorite_count
882863398085575000,223,0,540,0,102,0
882863395933782000,191,89,83,0,7835,0
882863395501994000,14,0,268,0,120,0
882863389604631000,446,29,104,0,30,0
882863388354781000,35008,362,385,1,1011,0
882863382742811000,1206,25,470,0,32591,0
882863379551068000,258,15,482,0,31157,0
882863373573947000,1201,29,700,0,26568,0
882863371271287000,242,13,197,0,31271,0
882863359883915000,5373,271,3467,0,20030,0
882863359032414000,15,0,35,0,2178,0
882863357560328000,136,1,702,0,37,0
882863355626574000,3,0,7,0,0,0
882863354657866000,2610,71,37,0,35596,0
882863349855343000,41,14,1824,0,812,0
882863348584526000,110,0,712,0,541,0
882863341508547000,224,2,1272,0,8158,0
882863339205833000,5111,16,1224,0,96455,0
882863335795864000,75,0,171,0,12184,0
882863333854106000,820,1,1460,0,61,1
882863333350801000,1520,2,80,0,19139,0
882863332876857000,3866,84,5000,0,51960,0
882863330620133000,1419,19,2992,0,3531,0
882863326740402000,150,1,502,0,323,0
882863326371467000,12,0,17,0,11,0
882863324903260000,22903,47,1097,0,10345,0
882863321489310000,311,6,826,0,1632,0
882863318460912000,481,117,2339,0,33405,0
882863317395554000,30,0,181,0,1851,1
882863313545310000,580,12,479,0,3351,0
882863303575384000,1,0,47,0,11,0
882863301125784000,2061,19,256,0,4349,0
882863295203496000,176,32,132,0,16472,0
882863292133380000,30231,273,460,0,4458,0
882863286294860000,6824,363,6777,0,134,0
882863284029882000,2729,58,142,0,31426,0
882863282717065000,1419,19,2992,0,3531,0
882863281714733000,0,0,0,0,0,0
882863271887471000,254,15,380,0,94,0
882863267500184000,697,1,286,0,68,0
882863267357446000,1848,78,1233,0,76823,0
882863262483612000,209,6,155,0,660,0
882863254225256000,28,5,200,0,104,0
882863244410581000,5645,1,0,0,1,0
882863243668079000,1419,19,2992,0,3531,0
882863240644112000,36,0,39,0,225,0
882863234109330000,1335,349,1939,0,40,0
882863230053495000,94,8,768,0,361,0
882863223434879000,5703,11,5668,0,92390,0
882863223078138000,1265,103,858,0,2986,0
882863211833213000,3060,16,2453,0,938,0
882863196851274000,665,0,118,0,2574,0
882863195374965000,289,3,460,0,410,0
882863194619990000,7588,109,181,0,77048,0
882863193344823000,2290,339,2289,0,79709,0
882863191814017000,859,46,320,0,2494,0
882863189611999000,688,2,59,0,15213,0
882863187783172000,963,106,649,0,41291,0
882863184901804000,1101,44,5003,0,12934,0
882863178513777000,5294,21,348,0,2783,0
882863175590306000,24,0,116,0,25,0
882863173673595000,255,64,1499,0,328,0
882863168883614000,7288,225,5641,0,54430,0
882863162592309000,645,79,295,0,25723,0
882863157718528000,880,67,212,0,10514,0
882863151552774000,3,0,28,0,52,0
882863150814704000,110,0,213,0,1064,0
882863144728535000,86,15,167,0,11877,0
882863143642309000,176,32,132,0,16472,0
882863143554253000,41,0,94,0,10058,0
882863143340331000,311,167,281,0,7251,0
882863137472434000,97,0,116,0,29430,0
882863130535121000,1796,1,544,0,7933,1
882863127536193000,514,220,317,0,27011,0
882863123845095000,6297,228,3161,0,9236,0
882863115368399000,7279,583,7980,0,20487,0
882863112675709000,2290,339,2289,0,79709,0
882863109655933000,115,4,109,0,843,0
882863108087317000,320,1,3984,0,12302,0
882863102630519000,431,40,807,0,42131,0
882863101879566000,6297,228,3161,0,9236,0
882863101577540000,10696,101,1063,0,38981,0
882863097966240000,3253,235,547,0,13255,0
882863093407207000,9,0,129,0,97,0
882863090798219000,77,0,27,0,616,0
882863089452020000,258,15,482,0,31157,0
882863085903639000,85,0,515,0,1099,0
882863083319960000,3231,12,2791,0,9308,0
882863074415264000,1796,1,544,0,7933,0
882863067763233000,270,3,341,0,152,0
882863065477165000,411,6,741,0,1091,0
882863060490256000,341,2,700,0,8789,0
882863046443577000,1290,27,199,0,695,0
882863043562136000,342,2,137,0,41304,0
882863040340808000,66,0,358,0,2155,0
882863038381961000,7234,56,63,1,8700,0
882863031968911000,3253,235,547,0,13255,0
882863025665045000,16,0,110,0,18,0
882863025153221000,525,3,357,0,614,0
882863023030845000,13,0,100,0,23,0
882863016030556000,2848,93,2503,0,22735,0
882863008216756000,1557,1,1474,0,16608,0
882863004588573000,3611,43,616,0,24926,0
882863002965365000,3394,8,658,0,4322,0
882863000217993000,540,33,660,0,2235,0
882862997558972000,462,37,1070,0,598,0
882862997412119000,366,0,151,0,616,0
882862991871361000,54,0,550,0,1059,1
882862990688739000,9281,21,8552,0,8323,0
882862987387650000,6297,228,3161,0,9236,0
882862987047969000,6070,115,995,0,9686,0
882862984418034000,215,148,439,0,25749,0
882862971772383000,200,20,236,0,34552,0
882862969352278000,1059,2,212,0,32070,0
882862965099123000,193,18,642,0,7451,0
